
taskID: 138, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 17, 
taskID: 139, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 18, 
taskID: 140, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 19, 
taskID: 141, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 20, 
taskID: 142, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 21, 
taskID: 143, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 22, 
taskID: 144, robotID: 5, action: 0.0, startPos: [14 13], goalPos: [14 13], time: 23, 
taskID: 145, robotID: 6, action: 2.0, startPos: [14  8], goalPos: [14  9], time: 0, 
taskID: 146, robotID: 6, action: 2.0, startPos: [14  9], goalPos: [14 10], time: 1, 
taskID: 147, robotID: 6, action: 2.0, startPos: [14 10], goalPos: [14 11], time: 2, 
taskID: 148, robotID: 6, action: 2.0, startPos: [14 11], goalPos: [14 12], time: 3, 
taskID: 149, robotID: 6, action: 2.0, startPos: [14 12], goalPos: [14 13], time: 4, 
taskID: 150, robotID: 6, action: 2.0, startPos: [14 13], goalPos: [14 14], time: 5, 
taskID: 151, robotID: 6, action: 3.0, startPos: [14 14], goalPos: [13 14], time: 6, 
taskID: 152, robotID: 6, action: 3.0, startPos: [13 14], goalPos: [12 14], time: 7, 
taskID: 153, robotID: 6, action: 3.0, startPos: [12 14], goalPos: [11 14], time: 8, 
taskID: 154, robotID: 6, action: 3.0, startPos: [11 14], goalPos: [10 14], time: 9, 
taskID: 155, robotID: 6, action: 3.0, startPos: [10 14], goalPos: [ 9 14], time: 10, 
taskID: 156, robotID: 6, action: 3.0, startPos: [ 9 14], goalPos: [ 8 14], time: 11, 
taskID: 157, robotID: 6, action: 3.0, startPos: [ 8 14], goalPos: [ 7 14], time: 12, 
taskID: 158, robotID: 6, action: 3.0, startPos: [ 7 14], goalPos: [ 6 14], time: 13, 
taskID: 159, robotID: 6, action: 3.0, startPos: [ 6 14], goalPos: [ 5 14], time: 14, 
taskID: 160, robotID: 6, action: 3.0, startPos: [ 5 14], goalPos: [ 4 14], time: 15, 
taskID: 161, robotID: 6, action: 3.0, startPos: [ 4 14], goalPos: [ 3 14], time: 16, 
taskID: 162, robotID: 6, action: 3.0, startPos: [ 3 14], goalPos: [ 2 14], time: 17, 
taskID: 163, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 18, 
taskID: 164, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 19, 
taskID: 165, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 20, 
taskID: 166, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 21, 
taskID: 167, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 22, 
taskID: 168, robotID: 6, action: 0.0, startPos: [ 2 14], goalPos: [ 2 14], time: 23, 
taskID: 169, robotID: 7, action: 4.0, startPos: [ 3 14], goalPos: [ 3 13], time: 0, 
taskID: 170, robotID: 7, action: 4.0, startPos: [ 3 13], goalPos: [ 3 12], time: 1, 
taskID: 171, robotID: 7, action: 4.0, startPos: [ 3 12], goalPos: [ 3 11], time: 2, 
taskID: 172, robotID: 7, action: 4.0, startPos: [ 3 11], goalPos: [ 3 10], time: 3, 
taskID: 173, robotID: 7, action: 0.0, startPos: [ 3 10], goalPos: [ 3 10], time: 4, 
taskID: 174, robotID: 7, action: 4.0, startPos: [ 3 10], goalPos: [3 9], time: 5, 
taskID: 175, robotID: 7, action: 4.0, startPos: [3 9], goalPos: [3 8], time: 6, 
taskID: 176, robotID: 7, action: 4.0, startPos: [3 8], goalPos: [3 7], time: 7, 
taskID: 177, robotID: 7, action: 4.0, startPos: [3 7], goalPos: [3 6], time: 8, 
taskID: 178, robotID: 7, action: 4.0, startPos: [3 6], goalPos: [3 5], time: 9, 
taskID: 179, robotID: 7, action: 4.0, startPos: [3 5], goalPos: [3 4], time: 10, 
taskID: 180, robotID: 7, action: 4.0, startPos: [3 4], goalPos: [3 3], time: 11, 
taskID: 181, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 12, 
taskID: 182, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 13, 
taskID: 183, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 14, 
taskID: 184, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 15, 
taskID: 185, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 16, 
taskID: 186, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 17, 
taskID: 187, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 18, 
taskID: 188, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 19, 
taskID: 189, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 20, 
taskID: 190, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 21, 
taskID: 191, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 22, 
taskID: 192, robotID: 7, action: 0.0, startPos: [3 3], goalPos: [3 3], time: 23, 
taskID: 193, robotID: 8, action: 3.0, startPos: [13  1], goalPos: [12  1], time: 0, 
