NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
640,0.4123048668503214,|,12.046537935733795,0.09362499415874481,0.024117395281791687,4.533743172883987,4.672158822417259,|,229739.875,229739.875,19558.9375,18524.8125,18524.8125
650,0.40312213039485767,|,12.768714517354965,0.09919880330562592,0.025257065892219543,4.845277041196823,4.983082860708237,|,239705.3125,239705.3125,20231.0625,19186.125,19186.125
660,0.4290657439446367,|,14.0957340747118,0.0984853208065033,0.025470256805419922,5.2695957869291306,5.412901744246483,|,239352.8125,239352.8125,20523.8125,19379.125,19379.125
670,0.4204152249134948,|,15.287867859005928,0.10828837752342224,0.02686406672000885,5.73895825445652,5.870407447218895,|,256388.1875,256388.1875,21370.875,20224.875,20224.875
680,0.4117647058823529,|,15.485963329672813,0.10987263917922974,0.027193933725357056,5.890794739127159,6.049812808632851,|,261264.875,261264.875,21650.1875,20506.5,20506.5
690,0.40311418685121103,|,16.32968343794346,0.11669403314590454,0.027742773294448853,6.22496896982193,6.380526557564735,|,277370.125,277370.125,22592.0,21443.4375,21443.4375
700,0.4285714285714286,|,16.6018069088459,0.11174197494983673,0.02817876636981964,6.281469956040382,6.446098327636719,|,260050.125,260050.125,22046.25,20806.9375,20806.9375
710,0.42040816326530617,|,17.134125977754593,0.12195037305355072,0.02839820086956024,6.548535168170929,6.716729983687401,|,284311.625,284311.625,23273.5625,22024.9375,22024.9375
720,0.4122448979591836,|,19.388306975364685,0.13000203669071198,0.03004661202430725,7.356723934412003,7.525727406144142,|,295589.5625,295589.5625,23766.6875,22535.6875,22535.6875
730,0.4040816326530612,|,18.704032883048058,0.13419708609580994,0.029625803232192993,7.149693042039871,7.334633007645607,|,315644.3125,315644.3125,24561.75,23332.75,23332.75
740,0.42901234567901236,|,20.181693270802498,0.13382810354232788,0.030634835362434387,7.666906952857971,7.83992837369442,|,300964.9375,300964.9375,24384.625,23036.8125,23036.8125
750,0.4212962962962963,|,21.19439834356308,0.1411699503660202,0.030973657965660095,8.077037766575813,8.267690971493721,|,318712.4375,318712.4375,25273.8125,23925.875,23925.875
760,0.4135802469135802,|,21.958603501319885,0.14584098756313324,0.03185895085334778,8.42993377149105,8.621185660362244,|,324798.375,324798.375,25780.3125,24420.1875,24420.1875
770,0.4058641975308642,|,22.58033688366413,0.15969759225845337,0.032435014843940735,8.662708640098572,8.884335428476334,|,352846.375,352846.375,26856.375,25493.75,25493.75
780,0.4302410518626735,|,23.113903418183327,0.15415430068969727,0.03222821652889252,8.748549535870552,8.975740134716034,|,338628.0625,338628.0625,26957.9375,25461.5,25461.5
790,0.422936449963477,|,24.5078107714653,0.1583910435438156,0.03305944800376892,9.38982281088829,9.60885189473629,|,351440.5,351440.5,27313.5,25861.75,25861.75
800,0.41563184806428055,|,24.70650687813759,0.1675967276096344,0.034019216895103455,9.40148240327835,9.630944669246674,|,361855.6875,361855.6875,27852.0625,26381.5625,26381.5625
810,0.408327246165084,|,25.63209779560566,0.17755138874053955,0.03467223048210144,9.867916092276573,10.147068172693253,|,379829.3125,379829.3125,28565.75,27133.5625,27133.5625
820,0.4010226442658875,|,26.75720204412937,0.19700048863887787,0.035456523299217224,10.276043966412544,10.564123287796974,|,404845.4375,404845.4375,29831.3125,28350.25,28350.25
830,0.42520775623268703,|,28.115050092339516,0.18755733966827393,0.03537735342979431,10.735838070511818,11.003791332244873,|,390878.625,390878.625,29787.1875,28168.375,28168.375
840,0.4182825484764543,|,27.734491243958473,0.19712112843990326,0.03658360242843628,10.629858389496803,10.94088464975357,|,404333.5,404333.5,30311.0,28724.375,28724.375
