NUM_AGENTS,PercentSpaceEmpty,|,CPP_OriginalADG_Time,CPP_SAGE_Time,CPP_FORTED_Time,CPP_MAGE_FORTED_Time,CPP_MAGE_SAGE_Time,|,CPP_OriginalADG_Comms,CPP_SAGE_Comms,CPP_FORTED_Comms,CPP_MAGE_FORTED_Comms,CPP_MAGE_SAGE_Comms
1020,0.4217687074829932,|,61.78955537080765,0.36322514712810516,0.06529740989208221,20.743720188736916,21.179048374295235,|,618387.75,618387.75,42150.3125,39954.25,39954.25
1030,0.41609977324263037,|,63.708288460969925,0.3835427910089493,0.06591227650642395,21.22192756831646,21.683310359716415,|,626596.125,626596.125,42264.125,40144.1875,40144.1875
1040,0.4104308390022676,|,70.63796550035477,0.3950132727622986,0.06729613244533539,23.150268599390984,23.60230813920498,|,659044.25,659044.25,43699.0,41494.125,41494.125
1050,0.40476190476190477,|,69.94727310538292,0.4205102473497391,0.0680004358291626,23.341863378882408,23.86771786212921,|,688863.3125,688863.3125,44968.0,42767.6875,42767.6875
1060,0.4267171444023796,|,75.22388833761215,0.4173774719238281,0.07041479647159576,24.211054295301437,24.760733798146248,|,660095.125,660095.125,45046.4375,42650.3125,42650.3125
1070,0.421308815575987,|,70.54871924221516,0.43142952024936676,0.06833349168300629,22.60253594815731,23.145556807518005,|,693392.25,693392.25,45827.625,43456.1875,43456.1875
1080,0.41590048674959434,|,70.21746125817299,0.4323686957359314,0.06970404088497162,23.518844798207283,24.05481965839863,|,691922.75,691922.75,46016.5,43692.8125,43692.8125
1090,0.4104921579232017,|,78.93001326918602,0.4517406076192856,0.071078822016716,25.348174899816513,25.8730900734663,|,727457.0625,727457.0625,47538.6875,45128.9375,45128.9375
1100,0.40508382909680907,|,81.38471500575542,0.4965113550424576,0.07350848615169525,26.41666005551815,27.011140897870064,|,768106.75,768106.75,49961.1875,47448.75,47448.75
1110,0.42665289256198347,|,83.77805869281292,0.4682195484638214,0.07336047291755676,27.10793974995613,27.69154667854309,|,741543.875,741543.875,49010.625,46386.8125,46386.8125
1120,0.42148760330578516,|,88.18606016039848,0.49717390537261963,0.07497218251228333,27.911922931671143,28.481421262025833,|,777783.4375,777783.4375,51201.875,48470.3125,48470.3125
1130,0.41632231404958675,|,89.51650977134705,0.5209434628486633,0.07621525228023529,28.00809445977211,28.62033112347126,|,786360.625,786360.625,51215.25,48588.125,48588.125
1140,0.41115702479338845,|,97.27261981368065,0.5328751653432846,0.07698336243629456,30.686105623841286,31.33178998529911,|,819112.5625,819112.5625,52988.5625,50278.125,50278.125
1150,0.40599173553719003,|,100.01547501981258,0.5407467633485794,0.07745537161827087,31.339719966053963,32.02180130779743,|,837821.1875,837821.1875,53718.1875,51038.875,51038.875
